index,prompt,evaluation_seed,coco_id
25665,A pot that has food inside of it.,84240,394259
16464,A very cute brown dog with a disc in its mouth.,29751,347950
22386,An outdoor area with many animals inluding a zebra and a rhinoceros.  ,1292,16010
10149,That small plane looks like it is ready for takeoff.,6885,12471
8729,A woman holding a umbrella next to a man holding a baby and several other people waiting to cross a street. ,22136,318200
25295,A skier skis down a slope near a ski lift.,8124,25812
8876,A black and yellow fire hydrant on a city sidewalk.,6897,18191
12348,A long bench sitting next to a large fence.,50581,210976
3858,"a plate with bacon, eggs and hamburger topped with bananas",54735,468925
19209,this is two people riding on an elephant,54137,385057
120,A sculpture of two women stting on a bench with their purses on the ground while people standing in a line behind them. ,84582,11511
12962,A livestock competition where sheep are being judged.,35133,325055
9346,The double decker bus is heading south through the mountainous region of California.,43712,107247
12609,A group of birds stand on partially water covered ground.,81273,310879
29679,A man is doing a trick at the skatepark.,34324,114055
14091,An older bald man in a striped suit.,45230,196665
7661,A train traveling through a tree filled countryside.,75957,41300
3382,a number of people riding motorcycles on a city street,97292,507927
3588,Many people are gathered to watch a motorcycle race.,73673,172439
29494,Four kids sitting on surfboards with man in background.,46323,81988
4582,Two airplanes are parked on a grassy field.,68659,349868
6154,Two rows of various makes of parked motorcycles.,81499,15827
15161,A woman and little girl with a doll holding an umbrella.,40915,90594
15041,A man on a white boat in the middle of an ocean.,79870,431996
28665,Two plates full of food sitting on a table next to a bottle.,96475,255912
22975,A man in holds a Frisbee in the parking lot by the river.,88410,102805
7396,"Dull red train, 54,  between grass and trees.",52836,391560
7008,A red fire hydrant sitting next to a sandwich sign.,69525,410437
11478,A cat that is sitting down on a wooden seat.,264,559047
1112,A picture of some people that are cooking some food.,79659,180787
25265,A white horse standing next to a stone wall.,10794,469577
8997,There is a small yellow bird standing on a fence,22308,358254
29525,A man in trunks carrying his yellow surfboard.,8123,484614
24791,a closeup of a boy at a beach who is about to throw a frisbee,38498,196458
5346,an old black and white photo of cars parked near a building ,89495,567197
2459,The young boy is doing tricks on his skateboard. ,5834,318543
9081,A red bus on side of street next to a building.,56292,108224
8005,A street going trough the center of a small town.,55741,563653
4789,A man standing in front of a bathroom mirror.,44253,420697
1811,"A small dog on TV behind the words "" What Did I Do Wrong?'.",64354,216014
15531,There is a red car being towed on a truck,11433,391415
23498,A zebra walks by himself in the brush. ,98333,45535
25479,A cat laying on top of a rug near a toy.,94048,460757
29315,A couple of men wading through a body of water.,18912,467479
2269,A group of young people sitting around a piece of luggage.,7320,372191
20554,A person in  a white jacket skiing down a slope,96740,166624
799,Two urinals sitting side by side in a restroom.,36304,318161
6399,A BMW motorcycle parked on a brick street.,35877,198495
18734,A cat curls up on a soft and comfortable bed.,4089,83476
20774,A family climbing up the side of a snow covered mountain with ski equipment.,18879,98322
22287,A person standing next to skis in the snow.,48703,420579
11616,some sheep eating grass in front of a rock,37519,393203
28808,a flat bread pizza topped with vegetables on a grill,22306,32039
7009,A blue sign in front of a bamboo enclosure.,18411,229782
12785,A group of giraffes stand together feeding on leaves in a large park.,39025,59386
14243,Old luggage cases. One is brown and one is green.,97321,81656
6087,A kitchen that has a sink and cabinets in it.,85330,69340
10673,A red and white fire hydrant that is next to parking lot. ,49134,34580
17873,Clothes piled in to a suitcase on a bed,29627,468379
17384,A cat is laying on a desk full of computers.,3938,346207
19416,A parking meter sitting on the side of a sidewalk.,98250,196413
2148,rear view mirror reflection showing a dog in the back seat,37788,365207
28363,A man riding a wind sail over water.,74524,151739
2259,A fan sitting in the middle of a room next to a sink.,98493,552563
16406,A group of people hanging out together with skateboards.,45393,329304
17069,A man wearing a neck tie and a green shirt.,80616,408255
29738,A man holding a surf board in his hands walking towards the beach. ,29494,87956
16030,A brown cow under a tree in a grassy area.,45249,512648
25140,a kid riding his skate board on the edge of a concrete wall,37175,10526
3403,A sign for a restaraunt and bar outside,70484,25378
12070,There is a bird that is on a branch sitting looking,90562,9553
11379,A colorful bus parked in a lot beside a tall building with many windows.,21165,460967
3123,A chef preparing vegetables at a counter in a kitchen.,57484,410272
28696,A man show a huge doughnut covered with melted chocolate and sprinkles.,30214,75296
27217,A man holding a surfboard next to a wave filled body of water.,24125,455633
9324,An airplane taking off from an airport at night.,40790,163132
9486,Small black and white pig on wheeled cart with protest sign.,9761,127135
22768,Many skateboarders going down a very wide city street.,10162,145295
16987,some people and a dog under an open umbrella,64318,44328
21819,Beans are spilling out of an already piled dinner plate.,58904,163775
371,A mounted police officer riding down a city street past parked cars.,66752,50411
19458,A cat is sitting in front of a window.,80138,195353
12855,A group of people standing around a picnic table.,86825,89150
13499,A close up image of a cat sitting on a couch. ,99141,576612
17605,A Pokemon and Mickey Mouse standing next to a light pole.,45030,359851
6447,a couple of women  are in a kitchen,97427,337264
6016,The man is sitting in the small kitchen on a stool. ,69651,31442
20808,little dude shredding the gnar on flat ground,70432,126257
23694,A woman posing for the camera standing on skis.,72751,785
6678,A bunch of animals in a grassy area.,57265,557346
16901,two mid size police vehicle parked with two man standing outside them,27674,20629
26790,"An individual pizza with cheese, pineapple and sauce.",99678,3690
10983,A three way sign is posted on an outdoor pole.,8105,88967
2083,An airplane is going over a steep mountain.,53356,347367
12367,A yellow and white bus driving down a street.,76001,442582
23902,A group of people standing on top of a snow covered slope.,55780,117286
14778,A siamese cat sleeping next to a brown teddy bear.,74072,546896
8934,several men on a street corner repairing a street sign,33074,157269
14163,A man wearing glasses and a blue sweater.,70095,280623
10406,A large group of chickens stand together in a building. ,10635,500468
11414,There is a bird that is eating seeds out if the bird feeder,48387,572671
3628,An updated kitchen with modern stainless steel appliances.,92722,45746
642,A group of people shopping inside a foreign market,47060,520941
15040,A woman holding a pink umbrella walking in the rain.,17472,369393
724,An airport with large jetliners and a bus traveling on a tarmac.,47268,18975
17712,there are four aluminum canoes sitting in the water,24053,337777
15289,A cat sleeping on top of a pair of shoes.,36201,576701
28433,"A sleek, black bedroom looks cold and uninviting. ",59875,268229
16274, a polar bear in the water holding a carrot,79790,87194
24913,a young boy in blue is standing in the snow,1367,112582
13636,An overhead view of a city street has an empty lot below.,73395,256220
21486,A large brown horse eating a glob of leaves.,29684,457097
20612,"pans filled with assorted veggies, fruit and rice",60677,528875
17740,A man and a dog are on a board in the water. ,83105,459733
20883,A group of women looking at a display of baked goods that is outside under a pavilion.,5231,500680
174,The exterior of an airport with some planes.,8266,383464
25465,A man riding skis on top of  a snow covered field.,16814,33900
24993,A boy jumping a skateboard ramp jump in front of others.,39855,540740
8844,A cat sitting on a wooden bench outside.,16712,412807
10314,"Street signs at an intersection, silhouetted against trees and a blue sky",14839,498975
23882,A bunch of vegetables that are in the ground.,81477,382333
1879,A shower door with a white towel hanging from it.,85216,409842
7600,an alley between two buildings with a sky in the background,93669,476491
15329,A row of parking meters sitting in a park.,53456,333605
24507,a horse is standing in a green field,40754,581929
